"","datetime","city","country","shape"
"35530",2020-03-17,"san jose","us","triangle"
"28125",2020-01-08,"doylestown","us","light"
"61861",2020-07-01,"meriden","us","circle"
"267",2020-10-10,"bridgeport","us","circle"
"67402",2020-07-29,"rocklin","us","circle"
"12496",2020-01-01,"burlington","us","light"
"48315",2020-05-21,"greeley","us","formation"
"11526",2020-11-18,"ashville (2 miles south of)","us","light"
"46894",2020-05-14,"concord","us","light"
"32083",2020-02-27,"nashville","us","light"
"74872",2020-08-18,"cambridge","us","light"
"67671",2020-07-30,"troy","us","oval"
"42836",2020-04-22,"twilight","us","sphere"
"61373",2019-07-01,"hull (uk/england)","gb","triangle"
"11547",2020-11-18,"thankerton (uk/scotland)","gb","unknown"
"30122",2020-02-17,"manville","us","unknown"
"36647",2020-03-22,"fontana","us","unknown"
"46716",2020-05-13,"bath","us","unknown"
"30154",2020-02-17,"hopewell","us","triangle"
"78479",2020-08-31,"sea girt","us","circle"
"42146",2020-04-20,"rootstown","us","sphere"
"5848",2020-10-29,NA,NA,NA
"62979",2019-07-15,"mesa","us","cigar"
"3894",2020-10-21,"ardmore","us","light"
"46093",2019-05-01,"palo","us","light"
"62398",2020-07-13,"louisville","us","other"
"83519",2020-09-17,"blackwood","us","sphere"
"82608",2019-09-15,"georgetown","us","triangle"
"26798",2020-01-31,"muscatine","us",NA
"25952",2020-12-07,"jacksonville","us","flash"
"19724",2020-12-12,"kelso","us","light"
"76071",2020-08-02,"middlesbrough (uk/england)","gb","oval"
"57118",2020-06-23,"roxboro","us","triangle"
"5129",2019-10-26,"concord (near)","us","other"
"45934",2020-05-11,"deltona","us","light"
"1832",2020-10-14,"el centro","us","circle"
"49940",2019-05-30,"vestal","us","cylinder"
"83435",2020-09-17,"wentworth","us","light"
"54321",2019-06-15,"shokan","us","light"
"35862",2020-03-19,"raleigh","us","light"
"46912",2019-05-15,"new york city (brooklyn)","us","other"
"5102",2019-10-26,"rimini","us","disk"
"20399",2020-12-15,"macchu pichu (peru)",NA,"light"
"73249",2020-08-14,"timmins (canada)","ca","other"
"38245",2020-03-31,"rio rancho","us","cigar"
"69971",2020-07-05,"indianapolis","us","circle"
"71868",2019-08-01,"cornwall (canada)","ca","disk"
"57574",2020-06-25,"fontana","us","other"
"76920",2019-08-25,"stone mountain","us","triangle"
"86864",2020-09-29,"north myrtle beach","us",NA
"44737",2020-04-05,"troy","us","other"
"10534",2020-11-15,"santa clara","us","chevron"
"48092",2020-05-20,"knaresborough&#44 north yorkshire (uk/england)",NA,"formation"
"49383",2020-05-26,"portsmouth","us","fireball"
"49707",2020-05-28,"dale","us","fireball"
"63617",2020-07-15,"lafayette","us","formation"
"38200",2020-03-31,"annandale","us","light"
"2912",2020-10-17,"waynesboro","us","light"
"29364",2020-02-14,"costa da caparica (portugal)",NA,"light"
"26253",2020-12-08,"des moines","us","light"
"45133",2020-04-07,"san jose","us","other"
"31421",2020-02-23,"palmer","us","light"
"49931",2019-05-30,"dallas","us","sphere"
"30507",2019-02-20,"kiev (ukraine)",NA,"disk"
"69390",2020-07-04,"westport","us","light"
"5293",2020-10-26,"colton&#39s point",NA,"circle"
"75339",2019-08-20,"white city","us","circle"
"76359",2020-08-22,"hoover","us","light"
"51134",2020-05-07,"lakeville","us","light"
"19919",2020-12-13,"san juan capistrano","us","circle"
"82071",2020-09-13,"casselberry","us","disk"
"79988",2020-08-07,"painesville","us","fireball"
"31871",2020-02-26,"graham","us","light"
"25520",2020-12-06,"truckee (near donner lake)","us","light"
"77939",2019-08-29,"bloomington (east bloomington)","us","triangle"
"81331",2019-09-01,"bicknell","us","light"
"11625",2020-11-18,"hwy 260/hwy 277",NA,"unknown"
"42026",2019-04-20,"wyoming (various towns)","us","other"
"62374",2020-07-13,"west paducah","us","circle"
"1876",2019-10-15,"mt. vernon",NA,"disk"
"32419",2020-02-03,"durham","us","light"
"88227",2020-09-07,"maricopa","us","light"
"13284",2020-11-02,"mississauga (canada)","ca","cigar"
"35011",2019-03-15,"houston","us","changing"
"41261",2020-04-16,"dingmans ferry","us","changing"
"74860",2020-08-18,"maple heights","us","unknown"
"9662",2020-11-12,"kemah/league city",NA,"oval"
"24103",2020-12-31,"boise","us","sphere"
"50890",2020-05-06,"santa rosa","us","unknown"
"10284",2019-11-15,"winston-salem","us","triangle"
"40315",2020-04-12,"herculaneum","us","disk"
"73878",2020-08-15,"denver","us","triangle"
"83734",2020-09-18,"hector","us",NA
"29637",2020-02-15,"oldsmar","us","circle"
"75995",NA,"wrangell","us","circle"
"56426",2020-06-21,"barrington","us","circle"
"2388",2020-10-15,"rye patch","us","disk"
"7535",2020-10-06,"ashford","us","fireball"
"30878",2019-02-02,"rancho cucamonga","us","fireball"
"31457",2019-02-24,"big bend","us","fireball"
"17495",2020-11-07,"horseshoe springs",NA,"fireball"
"56428",2020-06-21,"grand rapids","us","fireball"
"16139",2020-11-04,"brampton (canada)","ca","flash"
"24928",2020-01-24,"kelso","us","formation"
"68531",2019-07-04,"pine ridge","us","light"
"11405",2020-11-17,"johannesburg (south africa)",NA,"light"
"18873",2020-12-10,"ocotillo wells (near)","us","light"
"3335",2020-10-19,"san francisco","us","light"
"78534",2020-08-31,"cottage grove","us","other"
"22042",2020-12-22,"child/elkton (cecil county)",NA,"oval"
"9665",2020-11-12,"shannon (new zealand)",NA,"oval"
"29485",2019-02-15,"chicago","us","oval"
"75004",2020-08-19,"sunset beach","us","rectangle"
"46781",2020-05-14,"horatio","us","teardrop"
"34426",2019-03-13,"lubbock","us","triangle"
"16694",2020-01-15,"flat creek","us","triangle"
"72432",2020-08-12,"petersburg","us","triangle"
"32558",2020-02-04,"bettendorf","us","unknown"
"80948",NA,"new york city","us",NA
"24959",2019-01-25,"phoenix","us",NA
"74338",2020-08-16,"west seneca",NA,"fireball"
"60215",2020-06-07,"dawsonville","us","disk"
"71201",2020-08-10,"waltham","us","other"
"690",2019-10-01,"oregon (rural)",NA,"rectangle"
"32595",2020-02-04,"spencerport","us","disk"
"85313",2019-09-23,"graybill",NA,"disk"
"69542",2020-07-04,"cheektowaga","us","fireball"
"81823",2020-09-12,"algeciras (spain)",NA,"light"
"16011",2020-11-04,"coventry (uk/england)","gb","light"
"38333",2020-03-03,"boynton beach","us","disk"
"63756",2020-07-16,"stockport (uk/england)","gb","changing"
"25973",2020-01-27,"sarasota","us","fireball"
"31574",2020-02-24,"jacksonville","us","circle"
"78809",2020-08-03,"buffalo","us","circle"
"26911",2020-01-31,"monterey","us","flash"
"81170",2019-09-01,"buffalo","us","triangle"
"51660",2020-06-10,"turin (italy)",NA,"changing"
"49266",2020-05-26,"pittsburgh","us","circle"
"52362",2019-06-01,"cossayuna","us","unknown"
"42077",2020-04-20,"skytop","us","circle"
"69503",2020-07-04,"port saint lucie","us","circle"
"66603",2020-07-26,"manchester (uk/england)","gb","fireball"
"17066",2020-11-06,"longmont","us","light"
"26914",2020-01-31,"naples","us","light"
"18674",2020-01-20,"el cajon","us","other"
"77662",2020-08-27,"pasadena","us","triangle"
"49188",2020-05-25,"mount washington","us","triangle"
"33541",2020-03-10,"lawton","us","formation"
"28753",2020-02-01,"clifton",NA,"disk"
"70400",2020-07-07,"hellesylt (norway)",NA,"disk"
"54693",2020-06-15,"norwich","us","disk"
"42556",2020-04-02,"new carrollton","us","triangle"
"21073",2020-12-19,"somerset","us","circle"
"43388",2020-04-25,"conway","us","circle"
"27177",2020-01-04,"wichita","us","circle"
"57068",2020-06-23,"north babylon","us","circle"
"66158",2020-07-24,"ocala","us","circle"
"65932",2020-07-23,"springfield","us","circle"
"63541",2020-07-15,"north haven","us","disk"
"65325",2020-07-02,"rivers (canada)","ca","disk"
"51981",2019-06-01,"abilene","us","disk"
"53991",2019-06-15,"booneville",NA,"disk"
"1988",2019-10-15,"van nuys","us","disk"
"76118",2020-08-02,"keswick (canada)","ca","fireball"
"709",2019-10-01,"del mar","us","fireball"
"82924",2020-09-15,"sioux lookout (canada)","ca","light"
"63904",2020-07-16,"new york city (bronx)","us","light"
"15166",2020-11-29,"ashville","us","light"
"58373",2020-06-29,"evanston","us","light"
"42131",2020-04-20,"vancouver","us","light"
"85991",2020-09-25,"friant","us","light"
"19288",2020-12-01,"seymour","us","other"
"81430",2020-09-01,"puerto vallarta (mexico)",NA,"other"
"73178",2020-08-14,"west seattle","us","oval"
"38012",2020-03-30,"louisville","us","triangle"
"3132",2020-10-18,"brockton","us","triangle"
"1703",2020-10-14,"plains","us","triangle"
"52869",2019-06-01,"scottish highlands (uk/scotland)",NA,"triangle"
"43756",2020-04-27,"chatsworth","us","unknown"
"51209",2020-05-07,"dalton","us",NA
"87308",2020-09-03,"river falls","us","teardrop"
"65498",2019-07-22,"allendale","us","light"
"15579",2020-11-03,"conception bay south (canada)",NA,"other"
"60230",2020-06-07,"las vegas","us","oval"
"14928",2020-11-28,"warwood","us","formation"
"28177",2020-01-09,"st. james","us","cylinder"
"56928",2020-06-23,"port matilda","us","other"
"29254",2019-02-14,"davenport","us","triangle"
"7692",2020-10-07,"waldo","us","unknown"
"7562",2019-10-07,"jacksonville (in mandarin)","us","triangle"
"35230",2020-03-15,"san luis obispo","us","circle"
"22579",2020-12-24,"southbury","us","oval"
"32851",2020-02-06,"vicksburg","us","changing"
"77456",2020-08-27,"eugene","us","changing"
"87107",2020-09-30,"tinley park","us","changing"
"17749",2020-11-08,"new york city (manhattan) (upper east side)","us","chevron"
"5376",2020-10-27,"new york city","us","chevron"
"32021",2020-02-27,"laguna niguel","us","chevron"
"37421",2019-03-27,"toledo","us","circle"
"50504",2020-05-04,"rickman","us","circle"
"58673",2019-06-30,"serlinghights",NA,"circle"
"27179",2020-01-04,"unity","us","circle"
"32043",2020-02-27,"corpus christi","us","circle"
"2188",2020-10-15,"los americas (laguna park 1 hotel) (tenerife)",NA,"circle"
"10380",2019-11-15,"cavite (philippines)",NA,"circle"
"78774",2020-08-03,"santa fe","us","cylinder"
"78926",2020-08-03,"medina","us","cylinder"
"48047",2019-05-20,"passaic","us","disk"
"1765",2020-10-14,"louisville","us","disk"
"37957",2020-03-30,"california",NA,"disk"
"20855",2020-12-18,"thousand oaks","us","disk"
"74403",2019-08-17,"ridgecrest","us","disk"
"39034",2020-03-07,"pacoima","us","disk"
"10202",2020-11-14,"aurora (canada)","ca","fireball"
"76674",2020-08-24,"renton","us","fireball"
"53264",2020-06-01,"dallas","us","fireball"
"78852",2020-08-03,"phoenix","us","fireball"
"69402",2020-07-04,"maple valley","us","fireball"
"74239",2020-08-16,"plainfield","us","flash"
"37693",2020-03-28,"ambler","us","formation"
"17148",2020-11-06,"wentworth","us","formation"
"29811",2020-02-16,"atlantic","us","formation"
"31268",2019-02-23,"cameron","us","light"
"71249",2020-08-10,"chazy","us","light"
"14684",2020-11-27,"paso robles","us","light"
"73069",2019-08-14,"richland","us","light"
"11503",2020-11-18,"st-louis de blandford (canada)",NA,"light"
"40690",2020-04-14,"cumberland house (canada)","ca","light"
"12304",2020-01-01,"la jolla","us","light"
"34079",2020-03-01,"charlotte","us","light"
"22677",2020-12-25,"chesapeake","us","light"
"28324",2019-02-10,"londonderry","us","light"
"68711",2020-07-04,"cedarburg","us","light"
"55295",2020-06-17,"gatineau (canada)","ca","other"
"279",2020-10-10,"san jose","us","other"
"57540",2020-06-25,"meadows of dan",NA,"oval"
"81436",2020-09-01,"norwich (uk/england)","gb","oval"
"70383",2020-07-07,"sacramento","us","rectangle"
"28011",2020-01-08,"palm springs","us","rectangle"
"38341",2020-03-03,"moreton morrell (uk/england)",NA,"sphere"
"66336",2020-07-25,"delray beach","us","sphere"
"39896",2020-04-11,"houston (katy area)","us","sphere"
"8847",2020-11-11,"arlington","us","sphere"
"28127",2020-01-08,"hailey","us","sphere"
"63510",2020-07-15,"ottawa","us","sphere"
"5753",2019-10-29,"lindenhurst","us","sphere"
"65601",2020-07-22,"geneva (switzerland)",NA,"sphere"
"3006",2020-10-18,"route 80 w (between ex 25 and 24)",NA,"sphere"
"64922",2020-07-20,"brooklyn park","us","sphere"
"62917",2019-07-15,"mason","us","teardrop"
"33874",2020-03-11,"comfort","us","triangle"
"31735",2020-02-25,"mill creek","us","triangle"
"30513",2019-02-20,"hope valley","us","triangle"
"64716",2019-07-20,"corry-wattsburg",NA,"triangle"
"1999",2019-10-15,"crete/wilber (between)",NA,"triangle"
"52983",2019-06-01,"valencia","us","triangle"
"43050",2020-04-24,"palmetto (just east of&#44 off i-85)","us","triangle"
"27345",2020-01-04,"fort myers","us","unknown"
"42096",2020-04-20,"wolverhampton (uk/england)","gb","unknown"
"73202",2020-08-14,"charleston","us","unknown"
"30149",2020-02-17,"beaverbank (canada)",NA,"unknown"
"30156",2020-02-17,"unspecified city",NA,NA
"11949",NA,"nebraska (rural)",NA,NA
"34033",2020-03-01,"reykjavik (iceland)",NA,NA
"43643",2020-04-27,"alberta (canada)",NA,NA
"35247",2020-03-15,"hooper bay","us","unknown"
"44623",2020-04-04,"st. clair shores",NA,"circle"
"85533",2020-09-23,"philadelphia","us","circle"
"39540",2019-04-10,"yosemite national park",NA,"formation"
"16515",2020-01-15,"riverview","us","rectangle"
"43492",2020-04-26,"wildwood","us","light"
"11012",2020-11-16,"billings","us","unknown"
"22944",2020-12-26,"beavercreek","us","changing"
"20084",2020-12-14,"clifton forge",NA,"chevron"
"30",2019-10-10,"poughkeepsie","us","chevron"
"13847",2019-11-23,"moon (near the moon surface)",NA,"cigar"
"37846",2020-03-29,"york","us","circle"
"8446",2019-11-10,"grass valley (outside of)","us","disk"
"73478",2019-08-15,"west new york",NA,"disk"
"78430",2020-08-31,"madisonville","us","disk"
"86061",2020-09-26,"vero beach","us","fireball"
"70758",2020-07-08,"kurnool (india)",NA,"fireball"
"85322",2019-09-23,"delta (65 miles sw of)","us","flash"
"34354",2020-03-12,"fuquay",NA,"flash"
"79380",2020-08-05,"kenna","us","formation"
"50304",2020-05-03,"glenwood springs","us","formation"
"35487",2020-03-16,"susquehanna","us","light"
"38652",2020-03-05,"san diego (carmel mountain)","us","light"
"79526",2020-08-06,"sandila (india)",NA,"light"
"86936",2020-09-29,"fairbanks","us","light"
"14142",2020-11-24,"wellsboro","us","other"
"51063",2020-05-07,"portland","us","other"
"80224",2020-08-08,"homer","us","oval"
"28826",2020-02-01,"nashville","us","oval"
"59523",2020-06-04,"easton","us","teardrop"
"32331",2020-02-03,"dillon","us","triangle"
"23032",2020-12-26,"fairbanks","us","triangle"
"76232",2020-08-22,"kamloops (canada)","ca","unknown"
"42843",2019-04-23,"rochester","us","unknown"
"60765",2019-07-10,"puyallup","us","unknown"
"42549",2020-04-02,"south amherst","us",NA
"50241",2020-05-31,"waconia","us","sphere"
"15199",2020-11-29,"richmond",NA,"chevron"
"55338",2020-06-17,"yacolt","us","disk"
"4570",2020-10-23,"new orleans","us","cylinder"
"65846",2020-07-23,"burton","us","other"
"80545",2019-09-10,"spartanburg/greenville (near)",NA,"disk"
"51551",2019-06-10,"rockdale","us","other"
"28715",2020-02-01,"amsterdam","us","formation"
"72491",2020-08-12,"moorsville",NA,"light"
"75779",2020-08-21,"lake forest","us","oval"
"45599",2020-04-09,"los alamitos/cypress",NA,"fireball"
"74145",2019-08-16,"indianapolis","us","triangle"
"50915",2020-05-06,"charlotte","us","changing"
"26149",2020-12-08,"asuncion (paraguay)",NA,"circle"
"60244",2020-06-07,"manchester","us","sphere"
"72901",2020-08-13,"grand forks","us","triangle"
"38841",2020-03-06,"cabool","us","circle"
"41989",2020-04-19,"dunfermline (uk/scotland)","gb","cylinder"
"82739",2019-09-15,"auke bay","us","light"
"9569",2019-11-12,"roy","us","triangle"
"67229",2020-07-28,"flint","us","light"
"87548",2020-09-04,"garden grove","us","unknown"
"7651",2020-10-07,"long beach","us","sphere"
"59422",2019-06-04,"decatur","us","light"
"19104",2019-12-01,"nyack (near; i-80)",NA,"cigar"
"13692",2020-11-22,"lewes","us","light"
"42626",2020-04-02,"baltimore city",NA,"other"
"30483",2019-02-20,"cherry hill","us",NA
"49216",2020-05-25,"porter","us","fireball"
"66569",2020-07-26,"dallas","us","fireball"
"33548",2020-03-10,"los altos","us","disk"
"80470",2020-08-09,"buchholz (germany)","de","light"
"34221",2019-03-12,"new orleans","us","other"
"36264",2020-03-21,"montreal (canada)","ca","sphere"
"66110",2020-07-24,"san marcos","us","triangle"
"13025",2020-11-21,"montague","us","circle"
"47168",2020-05-15,"manitowoc","us","other"
"68334",2020-07-03,"orlando","us","oval"
"31032",2020-02-02,"sicklerville","us","light"
"35981",2020-03-19,"barboursville","us","oval"
"5490",2020-10-27,"lima (peru)",NA,"rectangle"
"38128",2020-03-31,"vancouver (canada)","ca","light"
"26025",2020-12-08,"ludhiana (india)",NA,"unknown"
"7880",2020-10-08,"morrisdale","us","disk"
"9594",2020-11-12,"middlesbrough (uk/england) ??",NA,"disk"
"10972",2020-11-16,"los angeles","us","other"
"1458",2020-10-13,"brewer","us","light"
"30508",2019-02-20,"billings","us","other"
"4389",2020-10-22,"monroeville","us","oval"
"83278",2020-09-16,"goodyear","us","changing"
"58141",2020-06-28,"bowling green","us","circle"
"14235",2019-11-25,"fredericksburg (northwest hill country))","us","light"
"52377",2019-06-01,"nanaimo (canada)","ca","light"
"20147",2020-12-14,"brisbane (australia)","au","other"
"50418",2020-05-03,"huntersville","us","sphere"
"44310",2020-04-30,"smithton","us","triangle"
"43508",2020-04-26,"adrian","us","triangle"
"4435",2020-10-23,"albany","us","triangle"
"70785",2020-07-08,"berkley","us","triangle"
"23038",2020-12-26,"bartlett","us","fireball"
"76049",2020-08-02,"fleming island",NA,"fireball"
"54147",2019-06-15,"janesville","us","other"
"3691",2020-10-20,"cove city","us","oval"
"27611",2020-01-06,"whitburn (uk/england)","gb","sphere"
"75199",2020-08-19,"battle ground","us","teardrop"
"24000",2020-12-31,"arvada","us",NA
"79501",2020-08-06,"portland","us","light"
"28133",2019-01-09,"thousand oaks","us","circle"
"38695",2020-03-05,"bath","us","light"
"15636",2020-11-03,"jackson","us","triangle"
"64882",2020-07-20,"branson","us","unknown"
"36403",2020-03-21,"university place/fircrest",NA,"circle"
"4459",2020-10-23,"vista","us","sphere"
"58703",2019-06-30,"tampa","us","circle"
"42003",2020-04-19,"hudson","us","circle"
"39182",2020-03-08,"mt. lincoln (?)",NA,"flash"
"43789",2019-04-28,"colorado springs","us","flash"
"27094",2020-01-03,"savoonga","us","light"
"19390",2020-12-01,"pine city","us","light"
"8866",2020-11-11,"uncasville","us","light"
"5506",2020-10-27,"cincinnati","us","teardrop"
"73923",2020-08-15,"russellville","us","unknown"
"9762",2020-11-12,"hattiesburg","us","circle"
"3843",2020-10-21,"hereford (uk/england)","gb","disk"
"38882",2020-03-06,"st. augustine","us","fireball"
"36959",2020-03-24,"saginaw (i-75 headed north mile marker 130 mi.)","us","fireball"
"47479",2020-05-16,"plainwell","us","flash"
"23845",2020-12-31,"wenatchee","us","formation"
"75606",2020-08-20,"madison","us","light"
"87341",2020-09-03,"frankfort","us","light"
"34449",2019-03-13,"phoenix","us","light"
"77685",2019-08-28,"yorkshire (south) (uk/england)","gb","oval"
"87588",2020-09-04,"newbridge (gwent) (uk/wales)","gb","sphere"
"65189",2020-07-21,"aurora","us","triangle"
"39563",2019-04-10,"grand rapids","us","triangle"
"42382",2020-04-21,"durham","us","triangle"
"49112",2020-05-25,"tucson","us","unknown"
"30123",2020-02-17,"mounds view","us","rectangle"
"77605",2020-08-27,"craig (coffman cove road)","us","circle"
"21745",2020-01-22,"babenhausen (germany)","de","flash"
"26639",2019-01-30,"kenai","us","light"
"50182",2020-05-31,"olympia","us","light"
"42588",2020-04-02,"nokomis","us","other"
"66870",2020-07-27,"honesdale","us","triangle"
"29034",2020-02-12,"seattle","us","triangle"
"73241",2020-08-14,"mcfarland","us","unknown"
"31540",2020-02-24,"new york city (bronx)","us","unknown"
"9318",2020-11-01,"las cruces","us","oval"
"60741",2019-07-10,"lake skinner",NA,"light"
"69419",2020-07-04,"medical lake","us","fireball"
"19327",2020-01-21,"ashtabula","us","other"
"77203",2020-08-25,"hutto","us","light"
"26457",2020-01-29,"amboy","us","cigar"
"19663",2020-12-12,"ashville","us","circle"
"82912",2020-09-15,"owensboro","us","light"
"26498",2020-01-29,"beecher","us","light"
"2780",2020-10-17,"brighton","us","light"
"72312",2020-08-01,"ogilvie","us","light"
"57105",2020-06-23,"big bear",NA,"light"
"61519",2019-07-01,"hughson","us","rectangle"
"52815",2019-06-01,"christchurch (new zealand)",NA,"sphere"
"37667",2020-03-28,"kansas",NA,"sphere"
"70972",2020-07-09,"i-5 (california",NA,"triangle"
"17499",2020-11-07,"walterboro","us","light"
"84929",2020-09-02,"salt lake city","us","circle"
"65010",2020-07-20,"dunkirk","us","fireball"
"5090",2020-10-25,"sarasota","us","rectangle"
"87467",2020-09-03,"yoder","us","sphere"
"71523",2020-08-11,"royal palm beach","us","triangle"
"65265",2020-07-21,"murfreesboro","us","formation"
"64953",2020-07-20,"washington&#44 d.c.",NA,"sphere"
"17541",2020-01-17,"tomaball",NA,"oval"
"54948",2020-06-15,"hiram","us","disk"
"1825",2020-10-14,"raleigh","us","cylinder"
"23609",2019-12-30,"camp mccoy (enroute to)",NA,"cylinder"
"63925",2019-07-17,"i-5 (firebaugh exit)",NA,"diamond"
"70799",2020-07-08,"seattle","us","fireball"
"62244",2020-07-13,"houston","us","oval"
"74804",2020-08-18,"bluffton",NA,"oval"
"85896",2020-09-25,"elgin","us","rectangle"
"18079",2020-01-18,"jackson","us","sphere"
"11923",2020-11-19,"rio rancho","us","triangle"
"32357",2020-02-03,"medford","us","unknown"
"7527",2020-10-06,"picardie (france)",NA,"unknown"
"38599",2020-03-05,"kenosha","us","changing"
"37883",2020-03-29,"albuquerque","us","circle"
"10662",2020-11-15,"maple valley","us","oval"
"62787",2019-07-15,"la verne","us","circle"
"15151",2020-11-29,"granisle (canada)",NA,"disk"
"79723",2020-08-06,"coeur d&#39alene","us","light"
"64767",2019-07-20,"sydney (canada)","ca","sphere"
"73387",2019-08-15,"rockford","us","other"
"29542",2019-02-15,"phoenix","us","light"
"54231",2019-06-15,"san diego","us","sphere"
"369",2020-10-11,"fort knox",NA,"fireball"
"30421",2020-02-19,"omaha","us",NA
"16069",2020-01-14,"winder","us","cigar"
"50081",2020-05-30,"atlanta","us","circle"
"2445",2020-10-15,"lancaster","us","circle"
"71635",2020-08-11,"seattle","us","circle"
"75521",2020-08-20,"san leandro","us","circle"
"81710",2019-09-12,"oakvale","us","cylinder"
"16270",2019-01-15,"canberra (australia)","au","disk"
"8577",2020-11-10,"el paso","us","disk"
"9530",2020-01-11,"miami","us","fireball"
"41005",2020-04-15,"melbourne (vic&#44 australia)","au","fireball"
"74281",2020-08-16,"blue mountains (australia)",NA,"formation"
"63887",2020-07-16,"ottumwa","us","light"
"46171",2020-05-01,"coram","us","light"
"20455",2020-12-15,"townsville (australia)","au","light"
"1289",2020-10-12,"grayling","us","light"
"54170",2019-06-15,"nulato","us","light"
"58602",2019-06-30,"fort collins",NA,"other"
"81214",2019-09-01,"commack","us","other"
"80453",2020-08-09,"niles","us","triangle"
"77464",2020-08-27,"caribbean sea",NA,"triangle"
"41433",2020-04-16,"las vegas","us","unknown"
"33281",2020-02-08,"naples","us","unknown"
"40464",2020-04-13,"greenville","us","unknown"
"61484",2019-07-01,"stony point","us","triangle"
"23239",2019-12-28,"winter park (just outside orlando)","us","fireball"
"33918",2019-03-01,"santa fe (near&#44 on highway)","us","unknown"
"16592",2020-01-15,"cocoa beach/cape canaveral",NA,"triangle"
"30447",2020-02-19,"bridlington (e. riding) (uk/england)","gb","fireball"
"10875",2019-11-16,"fairborn","us","other"
"88332",2020-09-07,"gilbert","us","sphere"
"34717",2019-03-14,"los angeles","us","triangle"
"82294",2020-09-14,"london (uk/england)","gb","circle"
"23195",2020-12-27,"pompano beach","us","fireball"
"75629",2019-08-21,"phoenix","us","other"
"14970",2020-11-28,"goodrich","us","unknown"
"56173",2020-06-20,"cincinnati","us","light"
"55641",2020-06-19,"riverview (canada)","ca","unknown"
"75890",2020-08-21,"springdale","us","light"
"46927",2019-05-15,"gainesville","us","triangle"
"72303",2020-08-01,"highway 5",NA,"circle"
"41964",2020-04-19,"scarborough","us","circle"
"79367",2020-08-05,"phoenix","us","unknown"
"31609",2020-02-24,"belcamp","us","changing"
"57463",2020-06-25,"price","us","circle"
"69860",2020-07-05,"everett","us","circle"
"63806",2020-07-16,"angeir",NA,"circle"
"37907",2019-03-30,"n. everett",NA,"cylinder"
"69561",2020-07-04,"chicago","us","fireball"
"66399",2020-07-25,"reno","us","fireball"
"76048",2020-08-02,"deltona","us","fireball"
"60560",2020-06-09,"ogallala","us","formation"
"71701",2020-08-11,"lagrange",NA,"light"
"21125",2020-01-02,"vancouver (canada)","ca","light"
"35364",2020-03-16,"east hampton","us","light"
"66425",2020-07-25,"wilmington","us","other"
"73229",2020-08-14,"singapore",NA,"teardrop"
"41124",2020-04-15,"tulsa","us","triangle"
"80833",2020-09-10,"north myrtle beach","us","unknown"
"81828",2020-09-12,"burbank","us","unknown"
"82643",2019-09-15,"rocky point","us","unknown"
"82239",2019-09-14,"columbus (canada)",NA,NA
"7298",2020-10-05,"kaanapali","us","fireball"
"69326",2020-07-04,"barberton","us","circle"
"58059",2020-06-28,"albuquerque","us","circle"
"19705",2020-12-12,"sugar hill","us","other"
"8334",2020-01-10,"lindenhurst","us","circle"
"60042",2020-06-06,"somerville","us","light"
"70568",2020-07-07,"vancouver","us","light"
"3071",2020-10-18,"myrtle beach","us","other"
"39210",2020-03-08,"alexandria","us","rectangle"
"84955",2020-09-02,"london (canada)","ca","circle"
"39713",2020-04-10,"pompano beach","us","light"
"87823",2020-09-05,"fairborn","us","triangle"
"64044",2020-07-17,"fort irwin","us","triangle"
"87993",2020-09-06,"marble cliff","us","triangle"
"51697",2020-06-10,"portland","us","fireball"
"24155",2020-12-31,"eagle river","us","other"
"12284",2020-01-01,"lake havasu city","us","sphere"
"86590",2020-09-28,"canton","us","unknown"
"11406",2020-11-17,"midland (canada)","ca","sphere"
"16461",2020-11-05,"dunstable (uk/england)","gb","cigar"
"56148",2020-06-20,"goldendale","us","fireball"
"4150",2020-10-02,"flinton (australia)","au","fireball"
"511",2020-10-11,"fayetteville","us","chevron"
"79176",2020-08-04,"vancouver","us","circle"
"68996",2020-07-04,"fall city","us","circle"
"15585",2020-11-03,"longmont","us","circle"
"49460",2020-05-27,"phoenix (north on 85&#44 towards)","us","diamond"
"6072",2020-10-30,"orient","us","disk"
"43014",2020-04-23,"charlotte","us","disk"
"59054",2020-06-30,"manchester (uk/england)","gb","egg"
"7946",2020-10-08,"cumming","us","egg"
"39147",2020-03-07,"salt lake city","us","formation"
"31583",2020-02-24,"las vegas","us","light"
"31798",2020-02-26,"levittown","us","light"
"27482",2020-01-05,"chula vista","us","oval"
"13237",2020-01-12,"orem","us","teardrop"
"76437",2020-08-23,"glastonbury","us","teardrop"
"65421",2020-07-02,"springfield","us","triangle"
"50877",2020-05-06,"kamloops (canada)","ca","triangle"
"40442",2020-04-13,"rothschild","us","unknown"
"48391",2020-05-21,"charlotte","us","unknown"
"25779",2020-01-27,"billerica","us","light"
"1909",2019-10-15,"pearl","us","cigar"
"71252",2020-08-10,"aitkin","us","formation"
"10642",2020-11-15,"bloomington","us","other"
"15189",2020-11-29,"omaha","us","unknown"
"25166",2020-01-25,"wildwood","us","flash"
"70088",2020-07-06,"lakeway","us","unknown"
"25445",2020-01-26,"limassol (cyprus)",NA,"flash"
"58837",2019-06-30,"blackwood","us","disk"
"50037",2020-05-30,"erie","us","fireball"
"20536",2020-12-16,"spokane","us","fireball"
"4721",2020-10-24,"pittsburgh/new castle",NA,"fireball"
