"","datetime","city","country","shape"
"22053",2020-12-22,"white city","us","light"
"54725",2020-06-15,"monterey","us","oval"
"42641",2019-04-22,"rockford","us","sphere"
"62613",2020-07-14,"brighton (uk/england)","gb","triangle"
"2785",2020-10-17,"seattle","us","unknown"
"51480",2020-05-09,"pens and panama (between)",NA,"cigar"
"31213",2020-02-22,"las cruces","us","circle"
"51801",2019-06-11,"menasha","us","circle"
"54783",2020-06-15,"frankfurt (germany)","de","disk"
"29185",2020-02-13,"grayson (near)","us","disk"
"50807",2020-05-05,"hampton","us","fireball"
"26120",2020-01-28,"mesa","us","formation"
"42757",2020-04-22,"long beach","us","light"
"41905",2020-04-19,"stony brook","us","light"
"58539",2019-06-30,"winston-salem","us","other"
"1243",2020-10-12,"milpitas","us","other"
"57589",2020-06-25,"east brunswick","us","other"
"70359",2020-07-07,"cadillac","us","oval"
"15635",2020-11-03,"albuquerque","us","rectangle"
"435",2020-10-11,"dover","us","sphere"
"87724",2019-09-05,"groton","us","triangle"
"32119",2019-02-28,"cancun (mexico)",NA,"changing"
"68307",2020-07-03,"ferndale","us","light"
"15053",2020-11-28,"humboldt","us","formation"
"39910",2020-04-11,"pevely","us","other"
"10600",2020-11-15,"reno","us","triangle"
"81864",2020-09-12,"north las vegas","us","disk"
"49512",2020-05-27,"wallops island va",NA,"sphere"
"46719",2020-05-13,"diamond","us","fireball"
"28121",2020-01-08,"fond du lac","us","formation"
"33069",2020-02-07,"sugarloaf mtn.",NA,"light"
"83676",2020-09-18,"hackettstown","us","light"
"65336",2020-07-02,"timmonsville","us","oval"
"25915",2020-01-27,"medina","us","sphere"
"73020",2020-08-13,"ravenna","us","sphere"
"26493",2020-01-29,"cordova","us","unknown"
"7722",2020-10-07,"meath (ireland)",NA,"circle"
"27229",2020-01-04,"encinitas/carlsbad",NA,"fireball"
"37192",2020-03-25,"solvang","us","changing"
"66209",2019-07-25,"casper","us","circle"
"68639",2020-07-04,"el cajon","us","circle"
"26064",2020-01-28,"st. albans (uk/england)","gb","flash"
"66893",2020-07-27,"kensington","us","light"
"78980",2020-08-04,"chandler","us","oval"
"34516",2020-03-13,"healdsburg","us","rectangle"
"71799",2019-08-01,"savannah","us","disk"
"6831",2020-10-03,"wagner","us","fireball"
"70797",2020-07-08,"dymchurch (uk/england)","gb","egg"
"79533",2020-08-06,"banff (canada)","ca","cross"
"545",2019-10-01,"corvallis","us","disk"
"58351",2020-06-29,"dover","us","unknown"
"27254",2020-01-04,"new britain","us","diamond"
"60330",2020-06-08,"covington (on highway 64)","us","changing"
"75811",2020-08-21,"freeport","us","diamond"
"63579",2020-07-15,"provo","us","disk"
"14835",2020-11-28,"pender island (canada)",NA,"fireball"
"14715",2020-11-27,"warwick","us","flash"
"27877",2020-01-07,"toronto (canada)","ca","light"
"75364",2020-08-20,"arroyo grande","us","light"
"75422",2020-08-20,"long beach","us","light"
"78207",2020-08-30,"ottawa (canada)","ca","sphere"
"37560",2020-03-27,"frederick","us","triangle"
"3963",2019-10-02,"charleston afs",NA,"unknown"
"34473",2019-03-13,"libby","us","light"
"21444",2020-12-20,"mayville","us","light"
"49828",2020-05-29,"victoria (canada)","ca","triangle"
"63504",2020-07-15,"durham","us","fireball"
"77524",2020-08-27,"blackpool (uk/england)","gb","light"
"36492",2020-03-02,"rockwall","us","light"
"33488",2020-02-09,"maricopa","us","oval"
"85455",2020-09-23,"clermont","us","light"
"37432",2020-03-27,"santa cruz","us","cigar"
"15282",2020-11-30,"kansas city","us","cylinder"
"34291",2020-03-12,"redmond","us","disk"
"40586",2019-04-14,"geneva","us","disk"
"1679",2020-10-14,"westlake village","us","fireball"
"23865",2020-12-31,"lawrence","us","formation"
"27400",2020-01-05,"jackson","us","light"
"53133",2020-06-01,"phoenix","us","light"
"56193",2019-06-21,"lansing (few miles northwest of&#44 in the country)","us","other"
"68272",2020-07-03,"bradenton beach","us","other"
"37557",2020-03-27,"monroe","us","unknown"
"15194",2020-11-29,"dover","us","unknown"
"76207",2020-08-22,"crystal lake","us",NA
"81982",2019-09-13,"tallahassee","us",NA
"35407",2020-03-16,"jackson","us",NA
"59079",2020-06-30,"lac de la sucrerie&#44 vendee (canada)",NA,"unknown"
"79398",2020-08-05,"falkirk (uk/scotland)","gb","circle"
"4561",2020-10-23,"gatesville","us","flash"
"72556",2020-08-12,"long beach","us","formation"
"64377",2020-07-18,"lynnwood","us","other"
"52178",2019-06-01,"la puenty",NA,"formation"
"2007",2019-10-15,"strafford","us","circle"
"55339",2020-06-17,"baton rouge","us","circle"
"65969",2019-07-24,"hagerstown","us","disk"
"46987",2019-05-15,"roslyn","us","disk"
"59036",2020-06-30,"jackson","us","fireball"
"44540",2020-04-04,"concord","us","fireball"
"19495",2020-12-01,"dayton","us","formation"
"79808",2020-08-07,"sakinaw lake (sunshine coast) (canada)",NA,"light"
